Class_ID,Class_Name,Train_Count,Valid_Count,Test_Count,Total_Count
0,bread,1,0,0,1
1,carmel,13,3,1,17
2,chicken_curry,18,4,1,23
3,cupcakes,22,9,4,35
4,french_fries,20,10,0,30
5,fried_rice,18,5,2,25
6,ice_cream,25,6,2,33
7,omlette,15,7,3,25
8,pancakes,17,5,5,27
9,pizza,21,3,4,28
10,rice,3,2,0,5
11,sause,3,1,1,5
12,steak,19,6,1,26
13,waffles,21,1,4,26
14,adhirasam,50,15,3,68
15,aloo_gobi,31,16,3,50
16,boondi,15,5,1,21
17,briyani,17,4,4,25
18,chapathi,18,8,4,30
19,gulab_jamun,57,5,1,63
20,kuzhi_paniyaram,42,25,2,69
21,lassi,43,17,7,67
22,naan,44,8,9,61
23,paneer_butter_masala,32,7,7,46
24,phirni,37,12,6,55
25,rabdi,35,6,8,49
26,red_chutney,8,2,1,11
27,rita,5,1,1,7
TOTAL,28 classes,650,193,85,928
